zone,forecast_year,summer_peak_demand_forecast_mw_idx,winter_peak_demand_forecast_mw_idx,net_demand_forecast_mwh_idx
West,2041,1.3232773265472373,1.4794979745332963,1.0777041769225155
West,2042,1.348200756326466,1.517689811280452,1.0828440655113951
West,2043,1.373593609513395,1.556867534064107,1.088008467742582
West,2044,1.3994647275210097,1.5970565925970728,1.0931975005288552
West,2045,1.4258231182869776,1.6382830935523556,1.0984112813405853
West,2046,1.4526779594100776,1.68057381752196,1.1036499282083936
West,2047,1.4800386013457028,1.723956236413469,1.1089135597258244
West,2048,1.5079145706615502,1.7684585312957,1.1142022950520294
West,2049,1.5363155733546296,1.8141096107050283,1.1195162539144652
West,2050,1.5652514982307466,1.8609391294242734,1.124855556611604
