resource_name,zone,tech_type,status_category,group_type,is_grouped,unit_count,nameplate_mw,summer_mw,storage_mwh,max_charge_mw,max_discharge_mw,commission_date,retirement_date,encompass_cf_shape,plant_codes,generator_ids,plant_name,energy_source,prime_mover,ba_code,filter_source
South_PSCO_Wind_existing,South,Wind,operating,renewable_zone,True,4,399.2,399.2,,,,,,South_Wind_CF,57980; 59974; 60143; 62445,GW1; WT; WTG,,WND,WT,PSCO,CO+BA
South_WACM_Wind_existing,South,Wind,operating,renewable_zone,True,5,9.8,9.8,,,,,,South_Wind_CF,57643; 58548,V100; WTG1; WTG2; WTG3; WTG4,,WND,WT,WACM,CO+BA
craig_co__1,West,Coal,operating,individual_tech,False,1,446.4,427.0,,,,1980-07-01,2025-12-01,,6021,1,Craig (CO),SUB,ST,WACM,CO+BA
craig_co__2,West,Coal,operating,individual_tech,False,1,446.4,410.0,,,,1979-11-01,2028-09-01,,6021,2,Craig (CO),SUB,ST,WACM,CO+BA
craig_co__3,West,Coal,operating,individual_tech,False,1,534.8,448.0,,,,1984-10-01,2029-12-01,,6021,3,Craig (CO),SUB,ST,WACM,CO+BA
hayden__1,West,Coal,operating,individual_tech,False,1,190.0,179.0,,,,1965-07-01,2028-12-01,,525,1,Hayden,BIT,ST,PSCO,CO+BA
hayden__2,West,Coal,operating,individual_tech,False,1,275.4,262.0,,,,1976-09-01,2027-12-01,,525,2,Hayden,BIT,ST,PSCO,CO+BA
West_PSCO_GasCT_small,West,Gas:CT,operating,small_group,True,1,26.6,14.0,,,,,,,471,1,,NG,GT,PSCO,CO+BA
West_PSCO_Hydro_small,West,Hydro,operating,small_group,True,4,20.3,19.9,,,,,,,476; 50267; 68234,A; B; GEN1; RED1,,WAT,HY,PSCO,CO+BA
West_WACM_Hydro_small,West,Hydro,operating,small_group,True,23,357.5,362.7,,,,,,,50206; 512; 514; 520; 521; 54729; 58783; 58784; 58901; 61189; 61190; 61191; 6159; 6206; 6207; 7372; 7373,1; 2; COX1; GEN1; GEN2; GEN3; SC-1; SC-3; TCWG1; TCWG2,,WAT,HY,WACM,CO+BA
West_WACM_Other_small,West,Other,operating,small_group,True,1,6.1,6.1,,,,,,,50205,7101,,WH,ST,WACM,CO+BA
West_PSCO_SolarPV_existing,West,Solar:PV,operating,renewable_zone,True,13,28.9,28.7,,,,,,West_Solar_CF,56922; 58547; 59199; 59239; 59742; 62244; 62251; 62718; 62719; 66247; 66271; 66945,1; 21536; 53975; 53977; EAST; ESS01; HCE; HCEPV; MESA1; WEST; X0037; X0038; YVEA,,SUN,PV,PSCO,CO+BA
West_WACM_SolarPV_existing,West,Solar:PV,operating,renewable_zone,True,9,21.9,21.9,,,,,,West_Solar_CF,61886; 64649; 64653; 64654; 66095; 66141; 66169; 66432; 67952,710; 711; 712; GEN1; PV001; SC; USGBS,,SUN,PV,WACM,CO+BA
axial_basin_solar_SolarPV_proposed,West,Solar:PV,proposed,proposed,False,1,145.0,145.0,,,,,,West_Solar_CF,65480,CO505,Axial Basin Solar,SUN,PV,PSCO,CO+BA
canyonland_solar_SolarPV_proposed,West,Solar:PV,proposed,proposed,False,1,140.0,140.0,,,,,,West_Solar_CF,68468,CO513,Canyonland Solar,SUN,PV,WACM,CO+BA
coyote_gulch_solar_SolarPV_proposed,West,Solar:PV,proposed,proposed,False,1,140.0,140.0,,,,,,West_Solar_CF,64857,C0513,Coyote Gulch Solar,SUN,PV,WACM,CO+BA
dolores_canyon_solar_SolarPV_proposed,West,Solar:PV,proposed,proposed,False,1,110.0,110.0,,,,,,West_Solar_CF,64858,C0497,Dolores Canyon Solar,SUN,PV,WACM,CO+BA
grand_valley_solar_generation_and_bess_SolarPV_proposed,West,Solar:PV,proposed,proposed,False,1,100.0,100.0,,,,,,West_Solar_CF,68343,GRVA1,Grand Valley Solar Generation and BESS,SUN,PV,PSCO,CO+BA
sun_bear_SolarPV_proposed,West,Solar:PV,proposed,proposed,False,1,756.0,756.0,,,,,,West_Solar_CF,68261,SNBR1,Sun Bear,SUN,PV,WACM,CO+BA
grand_valley_solar_generation_and_bess_StorageBattery_proposed,West,Storage:Battery,proposed,proposed,False,1,100.0,100.0,400.0,100.0,100.0,,,,68343,GRVA2,Grand Valley Solar Generation and BESS,MWH,BA,PSCO,CO+BA
sun_bear_StorageBattery_proposed,West,Storage:Battery,proposed,proposed,False,1,756.0,756.0,3024.0,756.0,756.0,,,,68261,SNBR2,Sun Bear,MWH,BA,WACM,CO+BA
